deduction_id,transaction_date,vendor_name,amount,currency,reference_code,description,manual_bucket,manual_flag
DED-2026-00461,05/06/2026,Costco Marketplace,-145.24,GBP,ADJ-462,Deduction per remittance advice,,
DED-2026-00321,10/06/2026,COSTCO.COM,-1250.25,GBP,DED-322,Miscellaneous deduction - see note,,
DED-2026-00753,10/06/2026,Marketplace Services Ltd,-62.88,GBP,REF-754,Miscellaneous deduction - refer to portal,,
DED-2026-00775,08/06/2026,Unknown Remitter,-80.45,GBP,DED-776,Account adjustment - see remittance advice,,
DED-2026-00705,11/06/2026,Walmart Inc,-184.85,GBP,DAMAGED-RMA-706,Warehouse damage claim - multiple units,,
DED-2026-00323,26/06/2026,Walmart Marketplace LLC,-1408.8,GBP,REF-324,Miscellaneous deduction - see note,,
DED-2026-00403,19/06/2026,Walmart Inc,-403.26,GBP,REF-404,Adjustment applied at settlement,,
DED-2026-00451,15/06/2026,Target Corporation,-142.15,GBP,REF-452,Reimbursement adjustment - see portal,,
DED-2026-00319,26/06/2026,Amazon Services Europe,-2675.7,GBP,SETTLEMENT-320,Adjustment applied at settlement,,
DED-2026-00535,28/06/2026,AMAZON.COM LLC,-89.06,GBP,NOTE-536,Adjustment applied at settlement,,
DED-2026-00697,30/06/2026,Amazon EU SARL,-406.56,GBP,DMG-CLAIM-698,Inbound damage adjustment,,
DED-2026-00667,16/06/2026,Shopify Payments,-104.36,GBP,PPD-668,Cost price discrepancy claim,,
DED-2026-00333,09/06/2026,Shopify Payments,-2739.39,GBP,SETTLEMENT-334,Adjustment applied at settlement,,
DED-2026-00369,24/06/2026,Walmart Marketplace LLC,-262.1,GBP,NOTE-370,Adjustment applied at settlement,,
DED-2026-00715,06/06/2026,Walmart Marketplace LLC,-296.91,GBP,WHSE-DMG-716,Warehouse damage claim - multiple units,,
DED-2026-00393,31/05/2026,COSTCO.COM,-403.37,GBP,ADJ-394,Adjustment applied at settlement,,
DED-2026-00623,31/05/2026,Amazon Services Europe,-999.36,GBP,MKTG-REBATE-624,Aggregated promo rebate - multiple campaigns,,
DED-2026-00545,03/06/2026,Amazon EU Sarl - UK Branch,-627.07,GBP,SETTLEMENT-546,Miscellaneous deduction - see note,,
DED-2026-00657,09/06/2026,DEDUCTION PROCESSOR LTD,-83.65,GBP,MISSING-UNITS-658,Units short on receipt - claim filed,,
